,
Canguil,Popcorn
Estar chiro,To be broke
Pelado,Boyfriend
Pelada,Girlfriend
Pelucon,Wealthy Person
Foco,Flashy
Choro,Thief
Chapa,Police Officer
La Yoni,The United States
Chompa,Sweater
Chompa,Jacket
Acolitar,To help
Acolitar,Support
Chumar,To Drink
Chumado,Drunk
Chumada,Drunk
Biela,Beer
Trago,Shot
Jaba,Crate of 12 Beers
Farra,Party
Embalado,Super Excited
Wambra,Kid
Wawa,Baby
Taita,Dad
Achachai,Cold
Ñaño,Brother 
Ñaña,Sister
Chullo,One
Serrano,Mountain Person
Sorroche,Altitude Sickness
Chendo,Just Kidding
Liguista,Soccer Fan
Lampara,Sketchy
Caleta,Cove
Caleta,House
Bacan,Cool
Chuchaqui,Hangover
Chiro,Person without money
Cholo,Tacky
Cholo,Bad Taste
Cachas,Understand
De Ley,Of course
La plena,Really
La plena,Seriously
Mande,What
Vacilar,Flirt
Jamear,Eating
Acholarse,Embarrassed
Acholarse,Ckicken Out
Amarrete,Greedy
Amarrete,Selfish
Charamitate,Belongings